title,publisher,print_issn,e_issn,for_code,year_inception,abdc_2025
4OR,Springer Nature,1619-4500,1614-2411,3599,2003,B
AACE International Transactions,AACE International,1528-7106,1528-7106,3599,1967,B
Abacus,Wiley-Blackwell Publishing,0001-3072,1467-6281,3501,1965,A
Academia Economic Papers,"Institute of Economics, Academia Sinica",1018-161X,,3801,1973,C
Academy of Management Annals,Academy of Management,1941-6520,1941-6067,3507,2008,A*
Academy of Management Discoveries,Academy of Management,2168-1007,,3507,2015,A*
Academy of Management Journal,Academy of Management,0001-4273,1948-0989,3507,1958,A*
Academy of Management Learning and Education,Academy of Management,1537-260X,1944-9585,3507,2002,A*
Academy of Management Perspectives,Academy of Management,1558-9080,1943-4529,3507,1987,A
Academy of Management Review,Academy of Management,0363-7425,1930-3807,3507,1976,A*
Academy of Marketing Studies Journal,Allied Business Academies,1095-6298,1528-2678,3506,1980,B
Accident Analysis and Prevention,Elsevier,0001-4575,1879-2057,3509,1969,A*
Accountancy Business and the Public Interest,Association for Accountancy & Business Affairs,1745-7718,,3501,2002,B
Accounting & Finance Journal / Revista Contabilidade & Finanças,University of São Paulo,1519-7077,1808-057X,3501,,C
Accounting Accountability and Performance,Griffith University,1445-954X,,3501,1995,C
Accounting and Business Research,Taylor & Francis Online,0001-4788,2159-4260,3501,1970,A
Accounting and Finance,Wiley-Blackwell Publishing,0810-5391,1467-629X,3501,1961,A
Accounting and Taxation,Institute for Business and Finance Research,1944-592X,,3501,2007,C
Accounting and the Public Interest,American Accounting Association,1530-9320,,3501,2001,B
Accounting Auditing and Accountability Journal,Emerald Group Publishing Limited,0951-3574,1758-4205,3501,1988,A*
Accounting Education,Taylor & Francis Online,0963-9284,1468-4489,3501,1992,A
Accounting Educators Journal,Academy of Accounting Educators Inc.,1041-0392,,3501,1988,B
Accounting Forum,Taylor & Francis Online,0155-9982,1467-6303,3501,2004,A
Accounting Historians Journal,American Accounting Association,0148-4184,,3501,1977,B
Accounting History,Sage Publications,1032-3732,1749-3374,3501,1989,A
Accounting History Review,Taylor & Francis Online,2155-2851,2155-286X,3501,2011,B
Accounting Horizons,American Accounting Association,0888-7993,1558-7975,3501,1987,A
Accounting in Europe,Taylor & Francis Online,1744-9480,1744-9499,3501,2004,A
Accounting Perspectives,Wiley-Blackwell Publishing,1911-382X,1911-3838,3501,2002,B
Accounting Research Journal,Emerald Group Publishing Limited,1030-9616,,3501,1986,B
Accounting Theory and Practice,Elsevier ScienceDirect,2949-9453,,3501,,C
"Accounting, Economics and Law – A Convivium",De Gruyter,2194-6051,2152-2820,3501,2011,B
"Accounting, Finance and Governance Review",Irish Accounting and Finance Association,0791-9638,,3501,1994,C
"Accounting, Organizations and Society",Elsevier,0361-3682,1873-6289,3501,1976,A*
ACM Transactions on Information Systems,Association for Computing Machinery,1046-8188,1558-2868,4609,1983,C
ACM Transactions on Modeling and Computer Simulation,Association for Computing Machinery,1049-3301,1558-1195,3599,1991,B
Acta Oeconomica,Akademiai Kiado,0001-6373,1588-2659,3899,1951,C
Acta Psychologica,Elsevier,0001-6918,1873-6297,3507,1936,A
Acta Turistica,"University of Zagreb, Faculty of Economics and Business",0353-4316,1848-6061,3508,1989,C
Acta Universitatis Bohemiae Meridionalis,University of South Bohemia Faculty of Economics,1212-3285,2336-4297,3801,1971,C
Action Learning and Action Research Journal,ALARA Association Inc.,1326-964X,1326-964X,3507,1996,C
Action Learning Research and Practice,Taylor and Francis Online,1476-7333,1476-7341,3507,2004,C
Active Learning in Higher Education,Sage Publications,1469-7874,1741-2625,3505,2000,B
Actuarial Research Clearinghouse,SOA Education and Research Section,0732-5428,,3502,2004,C
Adelaide Law Review,University of Adelaide,0065-1915,,4801,1960,A
Administration and Society,Sage Publications,0095-3997,1552-3039,3507,1975,B
Administrative Science Quarterly,Sage Publications,0001-8392,1930-3815,3507,1956,A*
Administrative Sciences,MDPI,,2076-3387,3507,2011,C
Administrative Theory and Praxis,Taylor & Francis Online,1084-1806,1949-0461,3507,1979,B
Advances and Applications in Statistics,Pushpa Publishing House,0972-3617,,4905,2001,C
Advances in Accounting,Elsevier,0882-6110,1046-5715,3501,1984,A
Advances in Accounting Behavioral Research,Emerald Group Publishing,1475-1488,,3501,1998,A
Advances in Accounting Education: teaching and curriculum innovations,Emerald Group Publishing,1085-4622,,3501,1996,C
Advances in Applied Probability,Applied Probability Trust,0001-8678,1475-6064,4905,1964,A
Advances in Consumer Research,Association for Consumer Research,0098-9258,,3506,1974,B
Advances in Developing Human Resources,Sage Publications,1523-4223,1552-3055,3505,1999,C
Advances in Environmental Accounting and Management,Emerald Group Publishing,1479-3598,,3501,2000,B
Advances in Experimental Social Psychology,Elsevier,0065-2601,1557-8410,3507,1964,A*
Advances in Hospitality and Leisure,Emerald Group Publishing,1745-3542,,3504,2005,C
Advances in International Management,Emerald Group Publishing,1571-5027,,3507,1988,C
Advances in International Marketing,Emerald Group Publishing,1474-7979,,3506,1986,C
Advances in Management Accounting,Emerald Group Publishing,1474-7871,,3501,1990,A
Advances in Public Interest Accounting,Emerald Group Publishing,1041-7060,,3501,1986,C
Advances in Strategic Management,Emerald Group Publishing,0742-3322,,3507,1983,C
Advances in Taxation,Emerald Group Publishing,1058-7497,,4801,1987,B
Advertising & Society Review,Johns Hopkins University Press,2475-1790,1534-7311,3506,2000,C
Afaq Iqtisadiyyah,Federation of UAE Chambers of Commerce and Industry: Centre for Research and Authentication,1024-266X,,3801,1980,C
Africa Development/Afrique et Developpement,Council for the Development of Economic and Social Research in Africa,0850-3907,,3899,1976,C
African Development Review,Wiley-Blackwell Publishing,1017-6772,1467-8268,3899,1989,C
African Economic History,University of Wisconsin Press,0145-2258,2163-9108,3801,1974,C
"African Journal of Accounting, Auditing and Finance",Inderscience Enterprises Ltd.,2046-8083,2046-8091,3501,2012,C
African Journal of Agricultural and Resource Economics,African Association of Agricultural Economists,1993-3738,2521-9871,3801,2006,B
African Journal of Business and Economic Research,Adonis and Abbey Publishers Ltd,1750-4554,1750-4562,3801,2006,C
African Journal of Economic and Management Studies,Emerald Group Publishing,2040-0705,2040-0713,3507,2010,C
African Journal of Economic and Sustainable Development,Inderscience Enterprises Ltd.,2046-4770,2046-4789,3801,2012,C
African Review of Economics and Finance,Wits University Press,2042-1478,2410-4906,3801,2009,C
Afrika Spectrum,Deutsches Institut für Afrika-Forschung,0002-0397,1868-6869,3801,1966,C
Afro-Asian Journal of Finance and Accounting,Inderscience Enterprises Ltd.,1751-6447,1751-6455,3502,2008,C
AgBioForum,Illinois Missouri Biotechnology Alliance,1522-936X,,3801,1998,C
Agenda: a journal of policy analysis and reform,Australian National University,1322-1833,1447-4735,3801,1994,B
Agribusiness: An international journal,Wiley-Blackwell Publishing,0742-4477,1520-6297,3801,1984,C
Agricultural and Resource Economics Review,Cambridge University Press,1068-2805,2372-2614,3801,1972,B
Agricultural Economics,Wiley-Blackwell Publishing,0169-5150,1574-0862,3801,1928,A
Agricultural Economics and Rural Development,Institute of Agricultural Economics,,,3899,2004,C
Agricultural Economics Research Review,Sage Publications,0971-3441,0974-0279,3899,1988,C
Agricultural Economics Review,Greek Association of Agricultural Economists,1109-2580,,3899,2000,C
Agricultural Finance Review,Emerald Group Publishing,0002-1466,2041-6326,3502,1931,C
Agriculture and Human Values,Springer International Publishing,0889-048X,1572-8366,3801,1984,B
AIMS International Journal of Management,AIMS International,1939-7011,,3507,2007,C
Air and Space Law,Kluwer Law International,0927-3379,1875-8339,4801,1974,B
AIS Educator Journal,Allen Press Inc.,1935-8156,,3501,2006,C
AIS Transactions on Human-Computer Interaction,Association for Information Systems,1944-3900,,4609,2009,A
Akron Tax Journal,University of Akron,1044-4130,,4801,1983,B
Alberta Law Review,University of Alberta,0002-4821,,4801,1955,B
Algorithmic Finance,Sage Publications,2158-5571,2157-6203,3502,2011,B
ALI - ABA Business Law Course Materials Journal,American Law Institute,1536-4445,,4801,1976,C
Aligarh Journal of Statistics,Aligarh Muslim University,0971-0388,,4905,1981,C
Alternative Law Journal,Sage Publications,1037-969X,2398-9084,4801,1975,B
"Alternatives: global, local, political",Sage Publications,0304-3754,2163-3150,3507,1974,A
American Bankruptcy Institute Law Review,St. John's University School of Law,1068-0861,,4801,1993,B
American Bankruptcy Law Journal,The National Conference of Bankruptcy Judges,0027-9048,,4801,1971,B
American Behavioral Scientist,Sage Publications,0002-7642,1552-3381,3507,1957,B
American Business Law Journal,Wiley-Blackwell Publishing,0002-7766,1744-1714,4801,1963,A
American Business Review,University of New Haven,0743-2348,0743-2348,3507,1983,B
American Economic Journal: Applied Economics,American Economic Association,1945-7782,1945-7790,3801,2009,A*
American Economic Journal: Economic Policy,American Economic Association,1945-7731,1945-774X,3801,2009,A*
American Economic Journal: Macroeconomics,American Economic Association,1945-7707,1945-7715,3801,2009,A*
American Economic Journal: Microeconomics,American Economic Association,1945-7669,1945-7685,3801,2009,A*
American Economic Review: Insights,American Economic Association,2640-205X,2640-2068,3801,2019,A*
American Economist,Sage Publications,0569-4345,2328-1235,3801,1960,C
