title,publisher,print_issn,e_issn,for_code,year_inception,abdc_2025
Accounting Auditing and Accountability Journal,Emerald Group Publishing Limited,0951-3574,1758-4205,3501,1988,A*
Auditing: A Journal of Practice and Theory,American Accounting Association,0278-0380,1558-7991,3501,1981,A*
British Accounting Review,Elsevier,0890-8389,1095-8347,3501,1968,A*
Contemporary Accounting Research,Wiley-Blackwell Publishing,0823-9150,1911-3846,3501,1984,A*
Journal of Accounting and Public Policy,Elsevier,0278-4254,1873-2070,3501,1982,A*
Journal of Business Finance & Accounting,Wiley-Blackwell Publishing,0306-686X,1468-5957,3501,1974,A*
Journal of Management Accounting Research,American Accounting Association,1049-2127,1558-8033,3501,1989,A*
Management Accounting Research,Elsevier,1044-5005,1096-1224,3501,1990,A*
Review of Accounting Studies,Springer International Publishing,1380-6653,1573-7136,3501,1996,A*
The European Accounting Review,Taylor & Francis Online,0963-8180,1468-4497,3501,1992,A*
Abacus,Wiley-Blackwell Publishing,0001-3072,1467-6281,3501,1965,A
Accounting Education,Taylor & Francis Online,0963-9284,1468-4489,3501,1992,A
Accounting Forum,Taylor & Francis Online,0155-9982,1467-6303,3501,2004,A
Accounting History,Sage Publications,1032-3732,1749-3374,3501,1989,A
Accounting Horizons,American Accounting Association,0888-7993,1558-7975,3501,1987,A
Accounting and Business Research,Taylor & Francis Online,0001-4788,2159-4260,3501,1970,A
Accounting and Finance,Wiley-Blackwell Publishing,0810-5391,1467-629X,3501,1961,A
Accounting in Europe,Taylor & Francis Online,1744-9480,1744-9499,3501,2004,A
Advances in Accounting,Elsevier,0882-6110,1046-5715,3501,1984,A
Advances in Accounting Behavioral Research,Emerald Group Publishing,1475-1488,,3501,1998,A
Advances in Management Accounting,Emerald Group Publishing,1474-7871,,3501,1990,A
Behavioral Research in Accounting,American Accounting Association,1050-4753,1558-8009,3501,1989,A
China Accounting and Finance Review,Hong Kong Polytechnic University,1029-807X,2307-3055,3501,1999,A
China Journal of Accounting Research,Elsevier,1755-3091,2214-1421,3501,2008,A
Critical Perspectives on Accounting,Elsevier,1045-2354,1095-9955,3501,1990,A
Financial Accountability and Management,Wiley-Blackwell Publishing,0267-4424,1468-0408,3501,1985,A
Foundations and Trends in Accounting,Now Publishers,1554-0642,1554-0650,3501,2006,A
International Journal of Accounting Information Systems,Elsevier,1467-0895,1873-4723,3501,2000,A
International Journal of Auditing,Wiley-Blackwell Publishing,1090-6738,1099-1123,3501,1997,A
Issues in Accounting Education,American Accounting Association,0739-3172,1558-7983,3501,1983,A
Journal of Accounting Auditing and Finance,Sage Publications,0148-558X,2160-4061,3501,1986,A
Journal of Accounting Literature,Emerald Group Publishing,0737-4607,,3501,1981,A
Journal of Contemporary Accounting and Economics,Elsevier,1815-5669,,3501,2005,A
Journal of Financial Reporting,American Accounting Association,2380-2154,2380-2146,3501,2016,A
Journal of Information Systems,American Accounting Association,0888-7985,1558-7959,3501,1986,A
Journal of International Accounting Research,American Accounting Association,1542-6297,1558-8025,3501,2002,A
Journal of Management Control,Springer International Publishing,2191-4761,2191-477X,3501,1990,A
Managerial Auditing Journal,Emerald Group Publishing,0268-6902,1758-7735,3501,1986,A
Meditari Accountancy Research,Emerald Group Publishing,2049-372X,2049-3738,3501,1993,A
Qualitative Research in Accounting and Management,Emerald Group Publishing,1176-6093,1758-7654,3501,2004,A
"Sustainability Accounting, Management and Policy Journal",Emerald Publishing,2040-8021,,3501,2010,A
The International Journal of Accounting,World Scientific Publishing,1094-4060,2213-3933,3501,1965,A
ASTIN Bulletin,Cambridge University Press,0515-0361,1783-1350,3502,1960,A*
Critical Finance Review,Now Publishers,2164-5744,2164-5760,3502,2012,A*
Financial Management,Wiley-Blackwell Publishing,0046-3892,1755-053X,3502,1972,A*
Insurance: Mathematics & Economics,Elsevier,0167-6687,1873-5959,3502,1982,A*
Journal of Banking & Finance,Elsevier,0378-4266,1872-6372,3502,1976,A*
Journal of Corporate Finance,Elsevier,0929-1199,1872-6313,3502,1994,A*
